common_name,site,link
DR Congo,googleMaps,https://goo.gl/maps/KfhNVn6VqdZXWu8n9
DR Congo,openStreetMaps,https://www.openstreetmap.org/relation/192795
Mali,googleMaps,https://goo.gl/maps/u9mYJkCB19wyuzh27
Mali,openStreetMaps,https://www.openstreetmap.org/relation/192785
Azerbaijan,googleMaps,https://goo.gl/maps/az3Zz7ar2aoB9AUc6
Azerbaijan,openStreetMaps,https://www.openstreetmap.org/relation/364110
Singapore,googleMaps,https://goo.gl/maps/QbQt9Y9b5KFzsahV6
Singapore,openStreetMaps,https://www.openstreetmap.org/relation/536780
Cuba,googleMaps,https://goo.gl/maps/1dDw1QfZspfMUTm99
Cuba,openStreetMaps,https://www.openstreetmap.org/relation/307833
Bangladesh,googleMaps,https://goo.gl/maps/op6gmLbHcvv6rLhH6
Bangladesh,openStreetMaps,https://www.openstreetmap.org/relation/184640
Marshall Islands,googleMaps,https://goo.gl/maps/A4xLi1XvcX88gi3W8
Marshall Islands,openStreetMaps,https://www.openstreetmap.org/relation/571771
Bouvet Island,googleMaps,https://goo.gl/maps/7WRQAEKZb4uK36yi9
Bouvet Island,openStreetMaps,https://www.openstreetmap.org/way/174996681
Latvia,googleMaps,https://goo.gl/maps/iQpUkH7ghq31ZtXe9
Latvia,openStreetMaps,https://www.openstreetmap.org/relation/72594
Hungary,googleMaps,https://goo.gl/maps/9gfPupm5bffixiFJ6
Hungary,openStreetMaps,https://www.openstreetmap.org/relation/21335
Åland Islands,googleMaps,https://goo.gl/maps/ewFb3vYsfUmVCoSb8
Åland Islands,openStreetMaps,https://www.openstreetmap.org/relation/1650407
Bulgaria,googleMaps,https://goo.gl/maps/F5uAhDGWzc3BrHfm9
Bulgaria,openStreetMaps,https://www.openstreetmap.org/relation/186382
Seychelles,googleMaps,https://goo.gl/maps/aqCcy2TKh5TV5MAX8
Seychelles,openStreetMaps,https://www.openstreetmap.org/relation/536765
Cameroon,googleMaps,https://goo.gl/maps/JqiipHgFboG3rBJh9
Cameroon,openStreetMaps,https://www.openstreetmap.org/relation/192830
Macau,googleMaps,https://goo.gl/maps/whymRdk3dZFfAAs4A
Macau,openStreetMaps,https://www.openstreetmap.org/relation/1867188
Mexico,googleMaps,https://goo.gl/maps/s5g7imNPMDEePxzbA
Mexico,openStreetMaps,https://www.openstreetmap.org/relation/114686
Brunei,googleMaps,https://goo.gl/maps/4jb4CqBXhr8vNh579
Brunei,openStreetMaps,https://www.openstreetmap.org/relation/2103120
Taiwan,googleMaps,https://goo.gl/maps/HgMKFQjNadF3Wa6B6
Taiwan,openStreetMaps,https://www.openstreetmap.org/relation/449220
Aruba,googleMaps,https://goo.gl/maps/8hopbQqifHAgyZyg8
Aruba,openStreetMaps,https://www.openstreetmap.org/relation/1231749
Trinidad and Tobago,googleMaps,https://goo.gl/maps/NrRfDEWoG8FGZqWY7
Trinidad and Tobago,openStreetMaps,https://www.openstreetmap.org/relation/555717
Vanuatu,googleMaps,https://goo.gl/maps/hwAjehcT7VfvP5zJ8
Vanuatu,openStreetMaps,https://www.openstreetmap.org/relation/2177246
Algeria,googleMaps,https://goo.gl/maps/RsAyAfyaiNVb8DpW8
Algeria,openStreetMaps,https://www.openstreetmap.org/relation/192756
Cook Islands,googleMaps,https://goo.gl/maps/nrGZrvWRGB4WHgDC9
Cook Islands,openStreetMaps,https://www.openstreetmap.org/relation/2184233
Burundi,googleMaps,https://goo.gl/maps/RXPWoRrB9tfrJpUG7
Burundi,openStreetMaps,https://www.openstreetmap.org/relation/195269
Belarus,googleMaps,https://goo.gl/maps/PJUDU3EBPSszCQcu6
Belarus,openStreetMaps,https://www.openstreetmap.org/relation/59065
North Korea,googleMaps,https://goo.gl/maps/9q5T2DMeH5JL7Tky6
North Korea,openStreetMaps,https://www.openstreetmap.org/relation/192734
Saint Martin,googleMaps,https://goo.gl/maps/P9ho9QuJ9EAR28JEA
Saint Martin,openStreetMaps,https://www.openstreetmap.org/relation/63064
Samoa,googleMaps,https://goo.gl/maps/CFC9fEFP9cfkYUBF9
Samoa,openStreetMaps,https://www.openstreetmap.org/relation/1872673
Zimbabwe,googleMaps,https://goo.gl/maps/M26BqdwQctqxXS65A
Zimbabwe,openStreetMaps,https://www.openstreetmap.org/relation/195272
Bermuda,googleMaps,https://goo.gl/maps/NLsRGNjTzDghTtAJA
Bermuda,openStreetMaps,https://www.openstreetmap.org/relation/1993208
Djibouti,googleMaps,https://goo.gl/maps/V1HWfzN3bS1kwf4C6
Djibouti,openStreetMaps,https://www.openstreetmap.org/relation/192801
United Kingdom,googleMaps,https://goo.gl/maps/FoDtc3UKMkFsXAjHA
United Kingdom,openStreetMaps,https://www.openstreetmap.org/relation/62149
Niue,googleMaps,https://goo.gl/maps/xFgdzs3E55Rk1y8P9
Niue,openStreetMaps,https://www.openstreetmap.org/relation/1558556
Guinea-Bissau,googleMaps,https://goo.gl/maps/5Wyaz17miUc1zLc67
Guinea-Bissau,openStreetMaps,https://www.openstreetmap.org/relation/192776
Japan,googleMaps,https://goo.gl/maps/NGTLSCSrA8bMrvnX9
Japan,openStreetMaps,https://www.openstreetmap.org/relation/382313
Tuvalu,googleMaps,https://goo.gl/maps/LbuUxtkgm1dfN1Pn6
Tuvalu,openStreetMaps,https://www.openstreetmap.org/relation/2177266
Réunion,googleMaps,https://goo.gl/maps/wWpBrXsp8UHVbah29
Réunion,openStreetMaps,https://www.openstreetmap.org/relation/1785276
Sudan,googleMaps,https://goo.gl/maps/bNW7YUJCaqR8zcXn7
Sudan,openStreetMaps,https://www.openstreetmap.org/relation/192789
North Macedonia,googleMaps,https://goo.gl/maps/55Q8MEnF6ACdu3q79
North Macedonia,openStreetMaps,https://www.openstreetmap.org/relation/53293
Canada,googleMaps,https://goo.gl/maps/jmEVLugreeqiZXxbA
Canada,openStreetMaps,https://www.openstreetmap.org/relation/1428125
Indonesia,googleMaps,https://goo.gl/maps/9gfPupm5bffixiFJ6
Indonesia,openStreetMaps,https://www.openstreetmap.org/relation/21335
Gambia,googleMaps,https://goo.gl/maps/bbGBCxxtfD2A9Z4m6
Gambia,openStreetMaps,https://www.openstreetmap.org/relation/192774
Somalia,googleMaps,https://goo.gl/maps/8of8q7D1a8p7R6Fc9
Somalia,openStreetMaps,https://www.openstreetmap.org/relation/192799
Mauritius,googleMaps,https://goo.gl/maps/PpKtZ4W3tir5iGrz7
Mauritius,openStreetMaps,https://www.openstreetmap.org/relation/535828
Montserrat,googleMaps,https://goo.gl/maps/CSbe7UmxPmiwQB7GA
Montserrat,openStreetMaps,https://www.openstreetmap.org/relation/537257
Russia,googleMaps,https://goo.gl/maps/4F4PpDhGJgVvLby57
Russia,openStreetMaps,https://www.openstreetmap.org/relation/60189#map=3/65.15/105.29
Portugal,googleMaps,https://goo.gl/maps/BaTBSyc4GWMmbAKB8
Portugal,openStreetMaps,https://www.openstreetmap.org/relation/295480
Oman,googleMaps,https://goo.gl/maps/L2BoXoAwDDwWecnw5
Oman,openStreetMaps,https://www.openstreetmap.org/relation/305138
Christmas Island,googleMaps,https://goo.gl/maps/ZC17hHsQZpShN5wk9
Christmas Island,openStreetMaps,https://www.openstreetmap.org/relation/6365444
Croatia,googleMaps,https://goo.gl/maps/qSG6xTKUmrYpwmGQ6
Croatia,openStreetMaps,https://www.openstreetmap.org/relation/214885
Mongolia,googleMaps,https://goo.gl/maps/A1X7bMCKThBDNjzH6
Mongolia,openStreetMaps,https://www.openstreetmap.org/relation/161033
Tajikistan,googleMaps,https://goo.gl/maps/8rQgW88jEXijhVb58
Tajikistan,openStreetMaps,https://www.openstreetmap.org/relation/214626
Solomon Islands,googleMaps,https://goo.gl/maps/JbPkx86Ywjv8C1n8A
Solomon Islands,openStreetMaps,https://www.openstreetmap.org/relation/1857436
Haiti,googleMaps,https://goo.gl/maps/9o13xtjuUdqFnHbn9
Haiti,openStreetMaps,https://www.openstreetmap.org/relation/307829
Honduras,googleMaps,https://goo.gl/maps/BbeJK8Sk2VkMHbdF8
Honduras,openStreetMaps,https://www.openstreetmap.org/relation/287670
Namibia,googleMaps,https://goo.gl/maps/oR1i8BFEYX3EY83WA
Namibia,openStreetMaps,https://www.openstreetmap.org/relation/195266
Argentina,googleMaps,https://goo.gl/maps/Z9DXNxhf2o93kvyc6
Argentina,openStreetMaps,https://www.openstreetmap.org/relation/286393
Niger,googleMaps,https://goo.gl/maps/VKNU2TLsZcgxM49c8
Niger,openStreetMaps,https://www.openstreetmap.org/relation/192786
Timor-Leste,googleMaps,https://goo.gl/maps/sFqBC9zjgUXPR1iTA
Timor-Leste,openStreetMaps,https://www.openstreetmap.org/relation/305142
Western Sahara,googleMaps,https://goo.gl/maps/7nU3mB69vP6zQp7A8
